SIA ID,ID,trench,Horizon,Year,Locus.a,Locus.b,Bag,Taxon,Element,Side,Estimated age at death/wear stage,Associated teeth,Notes,,,,,,,
MB Sus 3 MAX,53,M9/5,V,2013,FT3,,7099,Sus,max,right,,,,,,,,,,
MB Sus 4 MAN,9910,M9/6,V,2014,804,near ft 3,,Sus,mandible,left,8-10 months,dP3-M2,,,,,,,,
MB Sus 5 dp4,6227,M10/3,II a,2014,1303,,,Sus,dp4,left,,very early wear,,,,,,,,
MB Ovis 3 MAN,5125,L10/8,IV b,2013,505,,,Ovis aries,mandible,right,E,P3-M3,,,,,,,,
MB Ovis 3 M2,5125,L10/8,IV b,2013,505,,,Ovis aries,lower M2,right,,,,,,,,,,
MB Ovis 3 M3,5125,L10/8,IV b,2013,505,,,Ovis aries,lower M3,right,,,,,,,,,,
MB Ovis 4 MAN,5124,L10/8,IV b,2013,505,,,Ovis aries,mandible,left,G,P3-M3,,,,,,,,
MB Ovis 4 M2,5124,L10/8,IV b,2013,505,,,Ovis aries,lower M2,left,,,,,,,,,,
MB Ovis 4 M3,5124,L10/8,IV b,2013,505,,,Ovis aries,lower M3,left,,,,,,,,,,
MB Capra 1 MAN,4813,L10/8,IV,2013,502,,5082,Capra hircus,mandible,left,C?,dP2-M1 de verificat,,,,,,,,
MB Ovis 2 M3,6924,L10/8,IV,2013,502,,5075,Ovis aries,lower M3,right,,M3,,,,,,,,
MB oc 1 MAN,4811,L10/8,IV,2013,502,,5082,Ovis/Capra,mandible,right,D/EF,P2-M2,,,,,,,,
MB oc 1 M3,4811,L10/8,IV,2013,502,,5082,Ovis/Capra,mandible,right,,,,,,,,,,
MB Ovis 1 MAN,6920,L10/8,IV,2013,502,,5075,Ovis aries,mandible,right,G,P3-M3,,,,,,,,
MB Ovis 1 M2,6920,L10/8,IV,2013,502,,5075,Ovis aries,lower M2,right,,,,,,,,,,
MB Ovis 1 M3,6920,L10/8,IV,2013,502,,5075,Ovis aries,lower M3,right,,,,,,,,,,
MB Ovis 6 MAN,7116,M10/5,IV b,2013,605,,,Ovis aries,mandible,right,E,P2-M3,,,,,,,,
MB Ovis 5 MAN,5121+5122,L10/8,IV b,2013,505,,5096,Ovis aries,mandible,left,D,"dP3-dP4, M1-M2",,,,,,,,
